Dépôt GitHub,Identifiant,Segmentation,Transcription,Pages,Imprimeur,Titre bref,Auteur,Date,Lieu,Lien fac-similé numérique,Lieu de conservation
SETAFDH/HTR-Varia-Malingre,e-rara 120199,gold,gold (romain),87,s.n.,Chanson spirituelle sur la saincte cene,[anonyme],1545,s.l.,https://doi.org/10.3931/e-rara-120199,Genève BGE Bd 1915
SETAFDH/HTR-Varia-Malingre,e-rara 12703,en cours,en cours (romain),50/141,Jean Girard,Les Pseaumes de David,Clément Marot,1550,Genève,https://doi.org/10.3931/e-rara-12703,Genève MHR O6e(550)
SETAFDH/HTR-Varia-Malingre,onb 109B2E78,en cours,en cours (romain),65/271,[Jean Girard],Chrestienne Resiovyssance,Eustorg de Beaulieu,1546,[Genève],https://onb.digital/result/109B2E78,Vienne NB 80.M.74
SETAFDH/HTR-Varia-Malingre,Gallica bpt6k87118420, en cours, en cours (gothique sauf 4 pages au début en romain), 58/180,Gryphius,Les Oeuvres de Clement Marot,Clément Marot,1538,Lyon,https://gallica.bnf.fr/ark:/12148/bpt6k87118420,Paris BNF RES-YE-1461
